24,Spiced Chickpeas,,"Preheat oven to 425 degrees. Wash and dry produce. •Drain and rinse chickpeas; dry thoroughly with paper towels, removing as much moisture as possible. 
Halve, peel, and thinly slice shallot; mince a few slices until you have 2 TBSP. Peel and mince or grate garlic. Roughly chop pistachios.
In a medium bowl, toss chickpeas with half the stock concentrates, half the Shawarma Spice Blend, a large drizzle of oil, and a pinch of salt and pepper. 
Spread chickpeas out in a single layer on a lightly oiled foil-lined baking sheet. 
Roast on top rack, tossing halfway through, until chickpeas are slightly crispy, 18-20 minutes. 
While chickpeas roast, heat a large drizzle of oil in a small pot over medium-high heat. 
Add minced shallot, half the garlic, half the pistachios, remaining Shawarma Spice Blend, and a big pinch of salt. Cook, stirring, until fragrant, 30-60 seconds. 
Stir in rice, remaining stock concentrates, and ¾ cup water (1½ cups for 4). Bring to a boil, then cover and reduce heat to low. 
Cook until rice is tender, 15-18 minutes.
Quarter cucumber lengthwise; slice into ½-inch-thick pieces. Halve tomatoes lengthwise. Zest and quarter lemon.
Combine cucumber, tomatoes, and as much sliced shallot as you like. 
Toss with half the lemon zest, juice from one lemon wedge, and a drizzle of olive oil. Season with salt and pepper to taste.
In a small bowl, whisk together vegan mayo, remaining garlic, remaining lemon zest, and juice from one lemon wedge. Whisk in 2 TBSP water until combined. Season white sauce with salt and pepper to taste.
Fluff rice with a fork. Season with salt and pepper. Top with cucumber salad and roasted chickpeas in separate sections. 
Drizzle everything with white sauce and as much hot sauce as you like. 
Sprinkle with remaining pistachios and serve with remaining lemon wedges on the side.",
25,Creamy Mushroom Sauce,,"Bring a medium pot of salted water to a boil. Wash and dry produce. 
Trim and slice mushrooms into ¼-inch-thick pieces. 
Trim and thinly slice scallions, separating whites from greens.
Heat a large drizzle of olive oil in a large pan over medium-high heat. 
Add mushrooms; season with salt and pepper. 
Cook, stirring occasionally, until browned and slightly crispy, 5-7 minutes. T
Turn off heat; transfer to a paper-towel-lined plate. 
Melt 2 TBSP plain butter in pan used for mushrooms over medium-high heat. 
Add scallion whites and cook until just softened, 1 minute. Add flour and cook, stirring, until lightly browned, 1-2 minutes. 
Whisk in milk and 1⁄3 cup reserved pasta cooking water, breaking up any flour clumps. 
Simmer until slightly thickened, 3-4 minutes.
Stir cream cheese into pan with sauce until melted and combined. 
Stir in mushrooms and garlic herb butter. 
Season with salt and pepper. 
Sprinkle with Parmesan and scallion greens.",
26,Chickpea Fritters,,"Halve, peel, and finely chop half the shallot; thinly slice remaining. Zest and halve lemon. Peel and mince garlic. Pick and finely chop fronds from dill. 
Drain and rinse chickpeas; transfer to a medium bowl. Mash with a fork until almost smooth.
In a small bowl, combine sliced shallot and juice from half the lemon. Season with salt and a pinch of sugar. Set aside to pickle. 
In a separate small bowl, combine sour cream, yogurt, lemon zest, half the chopped dill, and a pinch of garlic to taste. 
Add water 1 tsp at a time until mixture reaches a drizzling consistency. Season with salt and pepper.
In a second medium bowl, whisk together tempura mix, Shawarma Spice, salt, and 1⁄3 cup cold water until smooth. 
Stir in chickpeas, chopped shallot, remaining garlic, and remaining chopped dill until thoroughly combined. 
Season with pepper. Wash out bowl used for chickpeas.
Heat a drizzle of oil in a large, preferably nonstick, pan over medium-high heat. 
Carefully add ¼-cup scoops of batter. (TIP: You may need to work in batches.) 
Cook until golden brown and crisp, 3-4 minutes per side. Transfer fritters to a paper-towel-lined plate.
Season with a pinch of salt.",
27,Rice,,"Add rice, water, and salt to pot. Bring to boil, cover, and reduce to simmer for ~20 minutes.",
28,Tomato Zucchini Flatbread,,"Preheat oven to 450 degrees. Wash and dry produce. Trim and halve zucchini lengthwise; thinly slice crosswise into half-moons. Halve tomatoes. Peel and mince or grate garlic. Zest and quarter lemon.
Heat a drizzle of olive oil in a large pan over medium-high heat. Add zucchini and cook, stirring, until lightly browned and softened, 5-6 minutes. Season with salt and pepper. 
In a second small bowl, combine ricotta, half the lemon zest, ½ tsp olive oil, and lemon juice to taste. Season with salt and pepper.
Place flatbreads on prepared sheet. Evenly spread flatbreads with lemon ricotta. Top with zucchini and tomatoes, cut sides up. 
Bake on top rack until flatbreads are golden brown, 10-12 minutes.
Meanwhile, pick parsley leaves from stems; roughly chop leaves. Mince chives. 
Once flatbreads are done, garnish with parsley, chives, remaining lemon zest, and chili flakes to taste. Drizzle with honey, then slice into pieces. ",
29,Meatloaf,,"Mix all, shape into a loaf in a big pan.

Bake at 350°F for 2-2.5 hours.",
30,Mashed Potatoes,,"Place potatoes in pot with enough water to cover entirely
Boil until soft
Drain
Mash until potatoes are broken up but still chunky
Add all other ingredients. Keep mashing until at desired consistency.",
31,Chicken Broccoli Stirfry,,"Marinate chicken in cornstarch, soysauce, and water mixture. 

Add a small amount of oil in pan or pot and add cut broccoli. Cook for about 2 minutes, then add a fourth cup of water in the pot and cover loosely with a lid to steam.
Let the broccoli steam until preferred doneness. Set the cooked broccoli aside. 

Add a ring of oil to the pan or pot and add the marinated chicken. Cook for about 5 minutes. 

While the chicken is cooking, prepare the mixture of soy sauce, sesame oil, chicken bouillon and water. Also prepare a cornstarch slurry of cornstarch and water in a different vessel.

Stir the chicken in the pan or pot, then add the soy sauce mixture and cooked broccoli. Turn the heat up to medium high, and simmer until chicken is cooked.

Add the cornstarch slurry in the pan or pot, stir and turn the heat down to medium low. The sauce should thicken. Once the cornstarch slurry is dissolved and cooked, the dish is done. Season to taste.",
32,Singapore Rice Noodles,,"Soak rice noodles in water as per package instructions. Prepare the vegetables as the noodles soak.

Prepare a mixture of soy sauce, salt, and sugar. Prepare another mixture of chicken bouillon and water.

Beat eggs and season to taste. Add a ring of oil to the pot and cook eggs to desired doneness. Set eggs aside. 

Add a ring of oil to the pot and cook choice of meat, add onions and vegetables and saute. Season with curry powder.

Add rice noodles to the pot, use a lifting motion to mix constantly. Add the soysauce mixture. 
Once the rice noodles start sticking to the bottom, add the chicken bouillon and water mixture to loosen the noodles. 
Keep mixing until noodles look cooked and incorporated with the cooked ingredients. Season to taste.",
33,Asian Cucumber Salad,,"Slice the cucumbers, pat dry, and toss with salt. Let sit for 15 minutes, then rinse off salt and pat dry again. Combine ingredients in a bowl, toss, and store overnight in the fridge",
34,Arrabbiata Sauce,,"Drizzle 1/4 cup of olive oil in a large pot over medium heat. Add in the garlic and chili red pepper flakes and cook for a minute or so. Then stir in the tomato paste, then add the tomatoes. Toss in the salt, pepper, and sugar, and simmer on low for at least 15 minutes.",
35,Chicken Noodle Soup,,"Chop and sautee veggies. Add butter, diced celery and carrots to a large stock pot over medium-high heat. Sauté for 3 minutes. Add garlic and cook for another 30 seconds.

Add stock. Season broth with basil, oregano, salt, and pepper. Add noodles and boil until noodles are al dente. Add cooked chicken.",
36,Grilled Cheese,,"Butter both sides of bread and place cheese in between, butter side out. Place on hot skillet ove medium heat and grill until cheese is melted and bread is browned.",
37,Generic Pasta,,"Saute veggies until soft, add sauce and spices, simmer until heated through. Add meat, mix into sauce until heated through. Add cooked pasta and mix until well combined",
38,Grain Salad,,Cook grain according to instruction and let cool. Chop fruits/vegetables and place over grain. Place dressing over salad.,
39,Marinara,,"Saute shallots/onions and garlic in olive oil over medium heat until softened and translucent.

Add herbs saute until fragrant, add wine and scrape browned bits from bottom of pan. Bring wine to simmer until reduced by half.

Add tomatoes, tomato sauce, and tomato paste. Bring to boil over medium-high heat. Cover with lid and simmer for ~30 minutes on low heat.

Season with salt, pepper, and sugar as needed.",
40,Banana Bread,,"Preheat the oven to 350°F (175°C), and butter an 8 x 4-inch loaf pan.

In a mixing bowl, mash the ripe bananas with a fork until completely smooth. Stir the melted butter into the mashed bananas.

Mix in remaining ingredients.

Pour batter into loaf pan.

Bake at 350°F for 55-65 minutes.",
41,Butter Squares,,"Preheat the oven to 400°F. Chill a 9x13″ baking pan in the freezer. Do not grease the pan.

Using a mixer, blend the butter, egg, sugar, and salt together until it is creamy.  Add the flour and vanilla and mix using your hands until the mixture holds together in large clumps. If it seems overly soft, add a little extra flour. 

Using your hands, press the dough out onto the chilled and ungreased baking sheet until it is even and ¼ inch thick.  Dust the top of the cookies evenly with raw sugar.

Bake at 400°F until the edges turn a golden brown, about 12-15 minutes. Remove from the oven. Let cool for about five minutes before cutting the cooked dough into squares. Remove the squares from the warm pan using a spatula.",
42,Baked French Fries,,"Preheat oven to 450 degrees F.

Wash potatoes. Cut into wedges or rectangles. 

In a pan, toss potatoes, oil, salt, and pepper. 

Bake in the preheated oven, turning once or twice, until golden brown and crispy, about 45 minutes.",
43,Lime Basil Chicken,,"Whisk together: lime juice, olive oil, garlic, basil leaves, salt, and pepper. Pour over chicken. 

Marinade at least 6 hours. 

Grill or bake chicken in a 350°F oven. ",
44,Apple Berry Salsa,,"Peel, core, and then chop apples. Sliced hull strawberries. Chop peeled kiwi. Zest orange and juice it. 

Combine prepared fruit, orange zest, orange juice, brown sugar, and apple jelly. 

Serve fruit salsa with cinammon chips.",
45,Peanut Butter Noodles,,"Bring a pot of water to a boil and add noodles. Follow the package directions for cook time.

In a bowl, combine peanut butter, soy sauce, and sesame oil. 

Once noodles are done cooking, drain and add the noodles to a bowl with the sauce. Mix to incorporate.",Best served with Rice Vinegar
46,Garlic Oyster Sauce Bok Choy,,"Add oil to a pan and turn heat to medium or medium high. Add garlic and stir occasionally to avoid burning. Add bok choy, continue stirring occasionally.

Once bok choy is cooked, or the leaves are wilted, season with salt and oyster sauce.",
47,Chinese Chicken Curry,,"Marinate chicken in soysauce, cornstarch and water marinade.

Add oil to a pot and saute onions until translucent, add garlic and stir to prevent burning.

Add vegetables and continue to stir while cooking. Season with curry powder, sugar, and salt.

Add water until the ingredients are covered, add chicken bouillon as per the bouillon package instructions. Turn heat up to boil.

Add the marinated chicken to the pot. Lower the heat to medium or medium high and allow to simmer and cook. 

Prepare a cornstarch slurry of cornstarch and water. Once the chicken is cooked, pour in cornstarch slurry to thicken the sauce.",
48,Sweet Potato Congee,,"In one pot, boil or steam sweet potatoes.

In another pot, add rice and water and bring it to a boil. 

Turn down the heat to medium or medium high to let simmer until the rice looks thoroughly cooked and the texture of water is thick.

Add cooked sweat potatoes to the pot of rice and simmer until preferred doneness. ",
49,Garlic Green Beans,,"Add oil to a pan and turn heat to medium or medium high. Add garlic and stir occasionally to avoid burning. Add green beans and continue to stir occasionally.

Once green beans are cooked, season with salt and fish sauce to taste.",
50,Hearty Hamburger Soup,,"In a large sauce pan, brown beef; drain. 

Add remaining ingredients, except green beans and bring to boil. 

Reduce heat; cover and simmer for 15 minutes or until vegetables are tender. 

Add beans. 

Cover and simmer 15 more minutes or until beans are tender. ",
51,Quesadillas,,Fill half of a tortilla with cheese and fold. Heat in a pan over medium-high heat until cheese is melted. Flip to brown both sides of tortilla.,
52,Tater Tot Casserole,,"Preheat oven to 375°F. 

Brown the ground beef in a large skillet over medium-high heat. Drain excess fat.

Add the onions to the skillet and saute for 4 to 5 minutes until translucent.

Add the garlic and cook, stirring frequently for an additional minute.

Stir in worcestershire sauce and season with salt and pepper to taste.

Transfer ground beef mixture to the prepared baking dish and spread evenly.

Top with cream of mushroom soup, followed by green beans and then cheddar cheese. Be sure to season the green bean layer.

Finally, top with tater tots.

Bake for 35 to 40 minutes or until tater tots are golden brown and cheese is melted.",
53,Almond Tea,,"Steep tea bags in 2 cups boiling water for 10 minutes. 

Boil sugar in 4 cups water for 5 minutes and then add lemon juice and flavorings. 

Combine the liquids and heat. Serve hot or cold. ",
54,Tinga,,"Boil tomatos and guajillo chile in chicken stock. 

Blend tomatos, guajillo chile, chipotle chiles, and garlic. 

Add Adobo Goya All Purpose, salt, tomato bouillon, and oregano to blended mixture.

Heat pan on medium-high heat. Add cooking oil and sliced onion. Fry until tender. 

Add shredded chicken to fry and then add the blended mixture. 

Let simmer on low heat for 10 minutes.",
55,Pig Feet,,"Add water, garlic, onion salt, and Chef Merita Steak and Meat Seasoning to pot with pig feet. 

Pressure cook on high for 45 minutes. ",
56,Arroz con Leche,,"Mix condensed milk, evaporated milk, whole milk, and egg. 

Boil rice in water for 20 minutes and add cinnamon stick. 

When rice is three quarters of the way cooking, add the mixed milk and stir until rice is cooked.",
57,Hibiscus Tea,,"Add hibiscus flowers to cold water. Bring water to a boil. 

As soon as it boils, reduce heat to low and let simmer for 10 minutes. 

Turn off heat and allow concentrate to cool. Pour concentrate through strainer into a pitcher and remove flowers.

Add sugar and stir. ",
58,Horchata,,"Soak rice for 3-4 hours in warm water with cinnamon sticks. 

After rice has soaked, drain the water. 

Blend rice in water. 

Drain blended rice to remove impurities and blend again if necessary. 

Add rice to a liter of water and mix in condensed milk, evaporated milk, whole milk. 

Add sugar if necessary.",
59,Carnitas,,"Add lard on high heat to a large pan. Add pork shoulder and stir. 

Add onion, garlic, salt, peper, bay leaf, and water.  

When meat is almost tender, add orange and after 5 minutes add Coca-Cola. ",
60,Tacos al Pastor,,"Boil chile guajillo, chile poblano, garlic, and onion for 7-10 minutes then blend. 

In a bowl add salt, oregano, annato, and Chef Merita Steak and Meat Seasoning. 

Add the juice of an orange and the blended mixture. Mix until a thick consistency. 

Season pork shoulder with the rub.

Fry the pork shoulder on high heat until meat is thoroughly cooked. ",
61,Strawberries and Cream,,"Mix condensed and evaporated milk, sour cream, and milk. Add chopped strawberries and mix. 
Can garnish with whipped cream and granola.",
62,Fried Fish,,"Wash tilapia. Squeeze lime juice onto fish. Add garlic salt, Goya Adobo All Purpose Seasoning, and pepper to fish. 
Mix water, flour, and the same seasonings used for the fish for a batter consistency. Coat tilapia in batter. 
Heat a pan on high heat and add oil. Fry tilapia until internal temperature of 145.",
63,Fruit Salad,,"Mix sour cream, yogurt, condensed milk, and milk until smooth.
Cut apples, peaches, and strawberries in quarter sizes. 
Add and mix in the cut fruits, grapes, almonds, and walnuts to blended mixture. ",
64,Egg Drop Soup,,"Prepare a cornstarch slurry of cornstarch and water. Also prepare a bowl of beaten eggs, seasoned to taste.
Bring a pot of water to a boil with bouillon as per bouillon package instructions.
Turn the heat down to let simmer. 
Pour cornstarch slurry in and stir a bit to let incorporate. 
Slowly pour beaten egg mixture into simmering pot of broth in a circular motion. 
Done once the eggs are cooked. ",
65,Poached Eggs,,"Break eggs carefully into dish.
Slip into salted, boiling water. There should be enough water to entirely cover the eggs.
Remove from heat and cover.
Let stand for 5 minutes or until whites of eggs are firm and yolks are covered with a thin, white film.",
66,Braised Beef,,"Rub meat with salt, pepper, and flour.

Sear meat. Add water. Cover. Cook slowly until meat is tender.

Add vegetables. Cook until tender",
67,Vegetable Soup,,"Brown carrots, turnips, onions, and tomatoes in hot cooking fat
Add water, cabbage, celery salt, and potatoes.
Season to taste.
Cover and simmer until vegetables are tender.",
68,Shakshuka with Chickpeas and Feta,,"Add oil, onion and green pepper to a large pan. Cook until soft, about 10 minutes
Add garlic and cook for 1 minute
Mix in the spices, cumin, coriander, cayenne pepper, paprika, chili powder and cook for 2 minutes. Add a few drops of water if required
Add the canned tomatoes and passata. Season with salt. Add a pinch of sugar as required. Simmer on low heat until the tomatoes are cooked and thickened
Mix in the chickpeas and cook for 5 minutes
Make little wells in the sauce and add the eggs. Sprinkle the feta over the sauce and cover the pan and cook until eggs are cooked, according to your preference
Garnish with parsley",
69,Vegetarian Carbonara,,"Melt butter in a saute pan over medium heat. Add mushrooms and garlic, cooking until mushrooms lose their moisture and become soft, about 5 minutes.
Whisk together the egg yolks and whole eggs until evenly mixed. Stir in the parmesan.
Bring a large pot of water to a boil, then add salt and spaghetti. Cook according to instructions on package, until spaghetti is al dente. When finished, save 1 cup of the water that you cooked the pasta in, and strain out the rest.
Very slowly drizzle the 1 cup of pasta water into the eggs, whisking as you pour. This tempers the eggs so that they won't scramble when they hit the hot noodles.
Stir the egg mixture and mushrooms into the spaghetti noodles. Top with cracked black pepper and more parmesan cheese. Serve immediately.",
70,Creamy Chicken-Rice Casserole,,"Prepare rice according to package directions. Cook onion in butter till tender but not brown. Remove from heat; stir in flour.
Drain mushrooms, reserving liquid. Add chicken broth, gradually stir into flour mixture. Add cream. Cook and stir till thick.
Add rice, mushrooms, chicken, pimiento, parsley, salt, and pepper. Place in 2-quart casserole.
Bake in moderate oven (350 °F) for 25-30 minutes.
Makes 8 servings.",
71,Herbed Green Beans,,"Bring a half inch of water to boil in 10 inches covered nonstick skillet. Add green beans; simmer, covered over medium low heat until tender-crisp, about 8 minutes. Drain in colander.
Heat butter in skillet over medium heat, add shallots and sugar; cook until softened and golden, about 2 minutes.  Add salt, pepper, and green beans. Cook, stirring until heated through. About 2 minutes.
Remove skillet from heat and stir in lemon zest and basil. Garnish with lemon wedges if desired and serve immediately.",
72,Sopapillas (Deep-Fat Fried Bread),,"1. Combine dry ingredients and cut in shortening.
2. Dissolve yeast in lukewarm water. Add to scalded milk, cooled to room temperature.
3. Make a well in center of dry ingredients. Add liquid to dry ingredients and work into dough. 4. Knead dough 15 to 20 times and set aside for approximately 10 minutes.
5. Roll dough to one-fourth-inch thickness or slightly thinner, then cut in squares or triangles and fry inmelted shortening at 420° F. Fry only a few
at a time so fat stays hot. If the fat is hot, the sopaipillas will puff up and become hollow shortly after adding to fat.
6. Drain sopaipillas on absorbent towels and serve as a bread with any New Mexican meal.
They are especially good served with honey.",
73,Cranberry Pork Chops,,"Rub pork chops with mixture of salt, nutmeg, ginger, and pepper. Brown on both sides in heavy skillet, no fat added. Pour orange juice over pork chops. Cover; reduce heat and simmer 40 minutes. Put 1 cup whole cranberries and 1 tablespoon honey into Osterizer blender container, cover and process at Chop by sliding motor switch On and Off till chopped. Empty into bowl and repeat with remaining cranberries and honey. Spoon cranberry mixture on top of each chop, cover and cook 10 minutes longer. Remove to warm platter. Makes 6 servings.",
74,Strawberry Goat Cheese Pizza,,"Preheat oven to 450. Lightly dust your work surface and dough with flour. Roll the dough out to about 12 to 14 inches around. With a pastry brush, lightly brush the crust with olive oil and 1 teaspoon of balsamic vinegar. Break apart goat cheese and dot pizza evenly with it. Bake in oven for about 5 minutes, then remove from oven and top with sliced strawberries, prosciutto, and basil. Bake for 5 to 10 more minutes until crust is nicely browned.
Once out of the oven, add sliced arugula leaves, and drizzle with the remaining 1 teaspoon of balsamic vinegar and sprinkle with black pepper. Makes eight slices.",
75,"Sausage, Goat Cheese and Arugula Stuffed Peppers",,"Heat oven to 400 ºF. Place the peppers on a baking sheet and set aside.
Heat olive oil in a medium skillet set over medium-high heat. Add the sausage and cook until it browns, crumbling with a wooden spoon as it cooks. (If needed, drain the sausage before continuing.) Once the sausage has browned, reduce heat to low and stir in the arugula and goat cheese until the cheese has melted and the arugula is wilted. Taste and add salt, pepper and red pepper flakes, if desired.
Spoon the filling into the peppers and sprinkle each half with Parmesan. Bake for 12-15 minutes, until the peppers have softened slightly. Serve immediately.",
76,Lemonade,,"Combine sugar and 1 cup water in a small saucepan. Stir to dissolve sugar while mixture comes to a boil. Set aside to cool slightly.
Meanwhile, roll lemons around on your counter to soften. Cut in half lengthwise, and squeeze into a liquid measuring cup. Add pulp to the juice, but discard any seeds. Continue juicing until you have 1 1/2 cups fresh juice and pulp.
Pour 7 cups ice-cold water into a pitcher. Stir in lemon juice and pulp, then add simple syrup to taste. Add ice.",
77,Red Wine Hot Chocolate,,"In a saucepan on low heat, combine the chocolate and wine. Cook for 2 to 3 minutes till the chocolate has melted. Stir constantly to prevent burning and take the pan off the heat every few seconds. The mixture will look fairly thick and glossy.
Pour in half the milk and stir to combine, then pour in the rest. Stir again (a silicone spatula is best), then add the water and sugar. Let it simmer for another couple of minutes. Taste and add more sugar if you like, or more milk/water to thin it out further.
Pour into two mugs (for small but satisfying servings, or just use one mug for a large and decadent serving!) and serve hot with whipped cream! As I said in the post above, the red wine flavor is subtle but adds depth to the hot chocolate. If you want a stronger flavor, add splash more in before you drink it. Leftovers can be cooled to room temperature and refrigerated for a day. Reheat on the stove for best results.",
78,Chicken Apple Pie,,"In an iron skillet, with a little olive oil cut up 2 boneless skinless chicken breasts
Cook all the about 1 inch or smaller chunks
Add cinnamon, nutmeg, cloves, allspice, cardamom
Add cut and peeled apples, about 4 or 5 (I use red because we always have those)
Add a wee bit of water
Add unsweetened applesauce
Put a frozen pie crust on top
Put a tab of butter on top of crust
Bake at 425 ºF for 20 minutes
Serves 3 or 4 people",
79,Cashew Carrot and Ginger Soup,,"Soak your cashews for an hour or two. Drain and rinse well.
Heat oil on medium. Add onion and cook until translucent. Add garlic and ginger. Cook 1-2 minutes. Add garam masala and cayenne. Cook until fragrant. Add carrots, water, and salt. Bring to boil and cook until carrots are very tender.
Transfer to blender (or use immersion blender) and add soaked cashews. Blend until creamy.
Top with a splash of coconut milk, roasted cashews, lime juice/wedges, freshly cracked black pepper, and/or some chopped cilantro/parsley. Serves 4.",
